A,B,C,D
1,"We couldn't be more thrilled with the work of Andy and his team to produce our Basketball team warm-up gear. He helped us find a high quality, affordably priced item that looks fantastic! On top of the great product, these hoodies were turned around in less that two weeks including design time. We will absolutely call on Canadian Custom Apparel for future orders!",Canadian Custom Apparel,A
2,I placed an order online of a design I created on their website. Easy to use. I wanted matching hoodies for me and my boyfriend for our anniversary. They turned out perfectly. Except I made a typo when I was designing the hoodies. I contacted them and they fixed it for me! Can't even tell anything was changed. Looks original. My boyfriend loved them. The hoodies are so soft and comfy too. Great gift and great service from the team!,Canadian Custom Apparel,A
3,I've never ordered custom T shirts before and I decided to go with.Canadian Custom Apparel based on Google reviews..I'm grateful that I did. Very happy with the quality of the shirt and the image printed on it. Extra thanks to Emma who took care of everything and answered all of my questions..I will definitely order again from Canadian custom apparel.,Canadian Custom Apparel,A
4,"The folks at CCA have been a joy to work with..we are now so grateful to have found Canadian Custom Apparel, as we have had some bad experiences in the past with other similar companies.
Everyone has been super helpful and we are and incredibly happy with all the finished products! We will be bringing all our future business here.",Canadian Custom Apparel,A
5,Super Impressed! Just received our order! I've tried SO many online stores for apparel and I have been disappointed every single time. Canadian Custom Apparel is the first company to not let me down! We love our new shirts! The embroidery is top quality on a great golf shirt! We will be repeat customers forsure!,Canadian Custom Apparel,A
6,"Terrible company to deal with after repeated attempts via email and phone I finally got a response. All the DTG printing on every hoodie I ordered came off after a couple of washes. Now, in order to replace them, this company wants me to take pictures of all the hoodies side by side. Kind of hard considering they were given out to customers as promotional gifts. Garbage service! Terrible customer service! Do NOT deal with this place. They do NOT know what they are doing.",Canadian Custom Apparel,A
7,"Thank you Canadian custom apparel for an amazing job on some hats for my company. I highly recommend their online store as well, I ordered these online in less than 5 mins and they were at my door under a week later. I haven't seen anything like this quality and service after using so many different companies for my apparel over the years, You have a customer for life!",Canadian Custom Apparel,A
8,Test washed this HERO2020 Hoodie DTG printed by Canadian Custom Apparel. After the 5th wash I've noticed the print lifting and flaking off. The details were not holding up. I asked why this is happening and they blamed my design is causing it. They cannot reassure you with a good print. I asked for compensation and they did not consider it.Unfortunate experience with these guys. Was hoping better.,Canadian Custom Apparel,A
9,"Two separate sporting spirit-wear Club orders, and wow so impressive.Being able to re-produce photo quality prints on team-wear took our club's projects to the next level!.Decorating process allowed our creative side in creating the most impressive projects, and they.nailed it! Amazing service, and impressive quality in printing..40 kids and parents were delighted with the finished.clothing.
Andy is exceptional to deal with, always positive and ensures you get your order on time.",Canadian Custom Apparel,A
10,"Andy helped my organisation deliver a ridiculously last minute order, for over 400 participants. Without Canadian Custom - we could never have pulled off the promo shirts we wanted. Not only was he incredibly pleasant to work with, but his professionalism and willingness to assist with the order went above and beyond. They even took care of manipulating our image to make our vision of what we wanted work within printing constraints (something zero other suppliers were willing to do). I can't say enough about how excellent they are. You won't regret it.",Canadian Custom Apparel,A
